Job Title,Job Title Clean,Job Title Clean 2
Admin Associate / Assistant,Admin Associate / Assistant,['Admin Associate / Assistant']
Operations Executive,Operations Executive,['Operations Executive']
Administrative Assistant (Property MCST),Administrative Assistant,['Administrative Assistant']
Administrative Assistant (ORDER DESK),Administrative Assistant,['Administrative Assistant']
Office Receptionist,Office Receptionist,['Office Receptionist']
Customer Service Support,Customer Service Support,['Customer Service Support']
HR & Admin Executive,Hr & Admin Executive,['HR & Admin Executive']
CORPORATE SALES ADMIN ASSISTANT,Corporate Sales Admin Assistant,['CORPORATE SALES ADMIN ASSISTANT']
Administrative Coordinator (5-Day Work Week),Administrative Coordinator,['Administrative Coordinator']
Clinic Coordinator | Care Coordinator (UP$2800 | West | Office Hours | Bonus),Clinic Coordinator | Care Coordinator,['Clinic Coordinator | Care Coordinator']
Executive Assistant,Executive Assistant,['Executive Assistant']
Laboratory Assistant (Administrative),Laboratory Assistant,['Laboratory Assistant']
Admin Executive/PA to COO,Admin Executive,['Admin Executive']
Administrative Assistant(3340),Administrative Assistant,['Administrative Assistant(3340']
Admin Assistant/Office Management (Renewable/Convertible),Admin Assistant/Office Management,['Admin Assistant/Office Management']
Temp Data Entry Officer *immediate* #NJN,Temp Data Entry Officer *Immediate* #Njn,['Data Entry Officer']
Business Support Executive,Business Support Executive,['Business Support Executive']
Personal Assistant,Personal Assistant,['Personal Assistant']
Administrative Assistant (Permanent) ,Administrative Assistant,['Administrative Assistant']
HR Admin,Hr Admin,['HR Admin']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
"Executive Office Assistant Up 3,500, Joo Chiat Rd",Executive Office Assistant,['Office Assistant']
Administrative Assistant (Ship Supply),Administrative Assistant,['Administrative Assistant']
Personal Assistant,Personal Assistant,['Personal Assistant']
Associate Executive/ Senior Associate (Office of Value Based Healthcare),Associate Executive/ Senior Associate,['Associate Executive/ Senior Associate']
Instructional Assistant (Short Term March - June 2025),Instructional Assistant,['Instructional Assistant']
"Receptionist & Admin Assistant (5 days, East, Pharma MNC)",Receptionist & Admin Assistant,['Admin Assistant']
Contract Administrative Assistant - (Singaporean only),Contract Administrative Assistant,['Administrative Assistant']
Customer Service Executive,Customer Service Executive,['Customer Service Executive']
Patient Service Officer | West,Patient Service Officer | West,['Patient Service Officer']
Patient Service Officer,Patient Service Officer,['Patient Service Officer']
Pharmacy Assistant @ PSC,Pharmacy Assistant,['Pharmacy Assistant']
Clinic assistant,Clinic Assistant,['Clinic assistant']
Medical Sales Representative,Medical Sales Representative,['Medical Sales Representative']
"Executive, Patient Services",Executive,['Executive']
Social Worker - Fresh Grads Welcome!,- Fresh Grads,['Social Worker']
Optometrist,Optometrist,['Optometrist']
"Senior/ Executive, Hopsital Clinic Operations & Administration Support",Senior/ Executive,[]
Full-Time Dental Assistant / Recep (ANG MO KIO),Full-Time Dental Assistant / Recep,['Dental Assistant / Recep']
Clinic Service Coordinator,Clinic Service Coordinator,['Clinic Service Coordinator']
Case Management Officer,Case Management Officer,['Case Management Officer']
Operations Manager (Clementi),Operations Manager,['Operations Manager']
Case Worker,Case Worker,['Case Worker']
Medical Laboratory Technologist,Medical Laboratory Technologist,['Medical Laboratory Technologist']
Pharmacy Tech,Pharmacy Tech,['Pharmacy Tech']
Pharmacy Technician (Compounding Lab) Office hour,Compounding Lab,['Pharmacy Technician']
"Senior/Executive, Audit & Governance Management",Senior/Executive,['Senior/Executive']
Behavioral (ABA) Therapist for children with AutismSTEP,(Aba) Therapist,['Behavioral (ABA']
Clinic Assistant Up to 2.3k + Bonus - Marine Parade,Clinic,['Clinic Assistant Up']
Optician,Optician,['Optician']
Social Work Associate (PDS) - hybrid arrangement,Social Work Associate,['Social Work Associate']
DXA Imaging Assistant,Dxa Imaging Assistant,['DXA Imaging Assistant']
"Senior / Executive, Crisis Planning & Operations (Emergency Preparedness)",Senior / Executive,['Senior / Executive']
Pharmacy Technician,Pharmacy Technician,['Pharmacy Technician']
Patient Service Associate (Admissions and Service Centre)*(7072),Patient Service Associate,['Patient Service Associate']
"Case Management Officer, NCIS(7941)",Case Management Officer,['Case Management Officer']
"[Stable, 5 Days Work] !Gov Hosp! Senior Service Team Leader @West UP$4000 #HJA","[Stable, 5 Days Work",[]
"Research Assistant, JO-25651",Research Assistant,['Research Assistant']
Assistant Case Manager,Assistant Case Manager,['Assistant Case Manager']
Senior/ Pharmacy Technician*(6751),Senior/ Pharmacy Technician*(6751,[]
Regional Product Marketing Manager - Medical Device,Regional Product Marketing Manager,['Regional Product Marketing Manager']
System Administrator,System Administrator,['System Administrator']
IT Engineer,It Engineer,['IT Engineer']
Corporate Affairs & IT Support Executive,Corporate Affairs & It Support Executive,['Corporate Affairs & IT Support Executive']
Software Engineer,Software Engineer,['Software Engineer']
Application Support Executive,Application Support Executive,['Application Support Executive']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
Agile Project Manager & Scrum Master,Agile Project Manager,['Agile Project Manager']
Cloud Engineer,Cloud Engineer,['Cloud Engineer']
Infrastructure and System Assistant Manager,Infrastructure And System Assistant Manager,['Infrastructure and System Assistant Manager']
System Administrator (MNC),System Administrator,['System Administrator']
IT Executive (ETMR/CoreTRM/Sage Systems) - SINGAPOREANS ONLY,It Executive,['IT Executive']
Technical Engineer,Technical Engineer,['Technical Engineer']
Application Support Analyst,Application Support Analyst,['Application Support Analyst']
Senior Network & Security Engineer (L3 Support),Senior Network,['Senior Network & Security Engineer']
IT Executive (L1 & L2),It Executive,['IT Executive']
Associate / Application Analyst,Associate / Application Analyst,['Associate / Application Analyst']
Ops Tech Officer,Ops Tech Officer,['Ops Tech Officer']
QA Engineer | Bonus for Top Performance,Qa Engineer | Bonus,['QA Engineer']
IT System Administrator,It System Administrator,['IT System Administrator']
IT Executive (Healthcare / Radiology),It Executive,['IT Executive']
System Assistant Engineer/ Engineer (1yr FTC),System Assistant Engineer/ Engineer,['System Assistant Engineer/ Engineer']
IT Support Engineer【Entry Level】,Engineer【Entry Level,['IT Support']
IT Service desk Support - Min 1 year Experience,Service Desk Support,['IT Service desk Support']
Senior Network Engineer | Fortinet | Aruba,Senior Network Engineer,['Senior Network Engineer']
IT Executive,It Executive,['IT Executive']
Full-Stack Engineer (Junior-Senior),Full-Stack Engineer,['Full-Stack Engineer']
Software Developer,Software Developer,['Software Developer']
Project and Operations Executive,Project And Operations Executive,['Project and Operations Executive']
Data Analyst & Engineer,Data Analyst,['Data Analyst & Engineer']
"Technical Operations Engineer, Data Center Cybersecurity",Technical Operations Engineer,['Technical Operations Engineer']
Senior System Analyst,Senior System Analyst,['Senior System Analyst']
Social Media Analyst | Up to $3500 | 5 days | Changi Airport #5252,Social Media Analyst |,['Social Media Analyst']
Business Analyst (Up to $4000 / Central / Office hour) VA,Business Analyst,['Business Analyst']
Testing Engineer (Telecom & Non Telecom),Testing Engineer,['Engineer']
Office IT & Admin Support,Office It,['Office IT & Admin Support']
Network Engineer,Network Engineer,['Network Engineer']
Senior Network Engineer,Senior Network Engineer,['Senior Network Engineer']
System Analyst / Senior System Analyst (ERP Application Support) - Contract,System Analyst / Senior System Analyst,['System Analyst / Senior System Analyst']
Business Analyst - Cluster Office (M-2024-1848),Business Analyst - Cluster Office,['Business Analyst']
Project Analyst - Delivery (M-2024-1074),Project Analyst - Delivery,['Project Analyst']
Application Manager,Application Manager,['Application Manager']
"Engineer, Artificial Intelligence (AI)  - 1 year contract",Engineer,['Engineer']
Director of IT Infrastructure and Development,Director,['Director']
Hardware Engineer,Hardware Engineer,['Hardware Engineer']
Assistant Process Engineer,Assistant Process Engineer,['Assistant Process Engineer']
Process / Product Engineer - (Stationed in Batam),Batam,['Product Engineer']
Fiber Field Technician,Fiber Field Technician,['Fiber Field Technician']
"ENGINEER, PROJECT",Engineer,['ENGINEER']
Facilities Engineer/Assistant Facilities Engineer,Facilities Engineer/Assistant Facilities Engineer,['Facilities Engineer/Assistant Facilities Engineer']
Workplace Safety Coordinator (WSHC),Workplace Safety Coordinator,['Workplace Safety Coordinator']
"BIM Modeler, Engineer (Training Provided)",Bim Modeler,['BIM Modeler']
Site Engineer,Site Engineer,['Site Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Assistant Engineer (Rail System),Assistant Engineer,['Assistant Engineer']
Production Engineer | Semiconductor,Production Engineer | Semiconductor,['Production Engineer']
BIM Modeller,Bim Modeller,['BIM Modeller']
Electronics Engineering Lead,Electronics Engineering Lead,['Electronics Engineering Lead']
Facilities Engineer (Building Services),Facilities Engineer,['Facilities Engineer']
Manufacturing Engineer,Manufacturing Engineer,['Manufacturing Engineer']
Assistant Application Engineer,Assistant Application Engineer,['Assistant Application Engineer']
Electrical Lead,Electrical Lead,['Electrical Lead']
Senior Power Electronics Firmware Engineer,Senior Power Electronics Firmware Engineer,['Power Electronics Firmware Engineer']
CAM PROGRAMMER,Cam Programmer,['CAM PROGRAMMER']
Sr Utilities Engineering Technician,Sr Utilities Engineering Technician,['Sr Utilities Engineering Technician']
Maintenance Technician,Maintenance Technician,['Maintenance Technician']
Project Engineer,Project Engineer,['Project Engineer']
BIM Modeller,Bim Modeller,['BIM Modeller']
Workplace Safety & Health officer,Workplace Safety & Health Officer,['Workplace Safety & Health officer']
Project Engineer,Project Engineer,['Project Engineer']
Assistant Engineer 【MNC / Career Progression】,Assistant Engineer,['Assistant Engineer']
Project Engineer (ACMV),Project Engineer,['Project Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Facility Engineer / Operation Executive (  ACMV / HVAC ),Facility Engineer / Operation Executive,['Facility Engineer / Operation Executive']
Graduate Engineering Trainee,Graduate Engineering Trainee,['Graduate Engineering Trainee']
Associate Engineer (Electrical & Electronics Consumer Products),Associate Engineer,['Associate Engineer']
Industrial Engineer,Industrial Engineer,['Industrial Engineer']
Manufacturing Technician,Manufacturing Technician,['Manufacturing Technician']
FIRE PROTECTION ENGINEER,Fire Protection Engineer,['FIRE PROTECTION ENGINEER']
Service Manager,Service Manager,['Service Manager']
Project Engineer cum Drafter,Project Engineer Cum Drafter,['Project Engineer cum Drafter']
M&E Engineer,M&E Engineer,['M&E Engineer']
Manufacturing Engineer,Manufacturing Engineer,['Manufacturing Engineer']
Application Engineer,Application Engineer,['Application Engineer']
Electrical Engineer (Electrical Control System/Marine /No exp welcomed!/West),Electrical Engineer,['Electrical Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Electrical Engineer x 2 (No exp welcome / Jap MNC / Office hours / OJT provided),/ Ojt,['Electrical Engineer']
Calibration Officer/ Technician (Electrical Lab),(Electrical Lab,['Calibration Officer/ Technician']
Mechanical Engineer (Power Plant/Up $7k+AWS+VB),Mechanical Engineer,['Mechanical Engineer']
Civil and Structure Engineer,Civil And Structure Engineer,['Civil and Structure Engineer']
Field Service Assistant Engineer,Field Service Assistant Engineer,['Field Service Assistant Engineer']
Chemical Technician [Process / Operations],Chemical Technician,['Chemical Technician']
Senior QA Commissioning Manager - Electrical & Automation Systems (Benoi),Manager - Electrical,"['Senior QA Commissioning Manager', 'Automation Systems']"
Service Engineers,Service Engineers,['Service Engineers']
Service Engineer,Service Engineer,['Service Engineer']
M&E (Mechanical & Electrical) Engineer,Mechanical,['M&E']
Senior Digital Twin Engineer,Senior Digital Twin Engineer,['Senior Digital Twin Engineer']
Automation Engineer,Automation Engineer,['Automation Engineer']
Electrical Engineer,Electrical Engineer,['Electrical Engineer']
Service Technician (Tuas),Service Technician,['Service Technician']
Electrical Technician (no experience required),Electrical Technician,['Electrical Technician']
Service Engineer,Service Engineer,['Service Engineer']
Technical Support Engineer (Semiconductor MNC),Technical Support Engineer,['Technical Support Engineer']
Manufacturing Supervisor,Manufacturing Supervisor,['Manufacturing Supervisor']
Drafter (AutoCad),Drafter,['Drafter']
Automation Engineer,Automation Engineer,['Automation Engineer']
Test Engineer,Test Engineer,['Test Engineer']
Assistant Service Engineer (5 Days Work Week),Assistant Service Engineer,['Assistant Service Engineer']
